timestamp,model,row_type,day,runtime_sec,solver_status,gap_percent,objective,best_bound,complete_count,carried_over_count,cp_time_limit_sec,cp_time_limit_per_day_sec,cp_max_customers,cp_max_candidates_per_day,cp_threads,cp_log_search,cp_two_phase_objective,cp_random_seed,cp_use_decision_strategy,cp_use_service_no_overlap,cp_candidate_strategy,cp_solve_phase2,objective_mode,daily_optimal_for,fixed_impossible_arcs,total_nonself_arcs,fixed_arc_ratio,distance_objective_scale,drop_penalty,distance_weight,degree_linking_constraints_count,arc_linking_constraints_count,window_pair_cuts_count,pair_conflict_cuts_count,depot_window_cuts_count,dominated_window_cuts_count,precedence_cuts_count,phase1_status,phase2_status,service_interval_count,roundtrip_duration_lb_count,fixed_impossible_customers_count,candidate_strategy,delivered_count,incomplete_count,active_days,total_deferral_days,total_distance_km,total_travel_time_min,total_waiting_time_min,total_service_time_min,total_route_duration_min,objective_value,violation_count,number_of_active_days,hard_feasible
20260709_223550,cp_rolling,DAY,1,3600.457345,FEASIBLE,23.73%,59.0,73.0,59,21,,3600,,80,4,False,True,1,True,False,hybrid,True,two_phase,delivered_count_incumbent_only,1366,6480,0.21080246913580247,km,10000,10,162,12800,2878,0,0,0,1366,FEASIBLE,UNKNOWN,0,80,0,hybrid,,,,,,,,,,,,,
20260709_223550,cp_rolling,DAY,2,3600.471350,FEASIBLE,24.59%,61.0,76.0,61,19,,3600,,80,4,False,True,1,True,False,hybrid,True,two_phase,delivered_count_incumbent_only,1140,6480,0.17592592592592593,km,15000,10,162,12800,3181,0,0,0,1140,FEASIBLE,UNKNOWN,0,80,0,hybrid,,,,,,,,,,,,,
20260709_223550,cp_rolling,DAY,3,3601.075503,FEASIBLE,33.33%,54.0,72.0,54,26,,3600,,80,4,False,True,1,True,False,hybrid,True,two_phase,delivered_count_incumbent_only,1572,6480,0.24259259259259258,km,25000,10,162,12800,3612,0,0,0,1572,FEASIBLE,UNKNOWN,0,80,0,hybrid,,,,,,,,,,,,,
20260709_223550,cp_rolling,DAY,4,3600.824609,FEASIBLE,110.34%,29.0,61.0,29,44,,3600,,80,4,False,True,1,True,False,hybrid,True,two_phase,delivered_count_incumbent_only,682,5402,0.12624953720844131,km,40000,10,148,10658,1084,0,0,0,682,FEASIBLE,UNKNOWN,0,73,0,hybrid,,,,,,,,,,,,,
20260709_223550,cp_rolling,DAY,5,3600.292180,FEASIBLE,25.47%,-1420884.0,-1782851.0,26,28,,3600,,80,4,False,True,1,True,False,hybrid,True,two_phase,not_certified,368,2970,0.12390572390572391,km,70000,10,110,5832,732,0,0,0,368,FEASIBLE,FEASIBLE,0,54,0,hybrid,,,,,,,,,,,,,
20260709_223550,cp_rolling,DAY,6,1440.703899,FEASIBLE,0.01%,-2413720.0,-2414059.0,43,0,,3600,,80,4,False,True,1,True,False,hybrid,True,two_phase,delivered_count_only,0,1892,0.0,km,120000,10,88,3698,0,0,0,0,0,OPTIMAL,FEASIBLE,0,43,0,hybrid,,,,,,,,,,,,,
20260709_223550,cp_rolling,DAY,7,1440.122481,FEASIBLE,0.00%,-1911840.0,-1911909.0,18,0,,3600,,80,4,False,True,1,True,False,hybrid,True,two_phase,delivered_count_only,0,342,0.0,km,1000000,10,38,648,0,0,0,0,0,OPTIMAL,FEASIBLE,0,18,0,hybrid,,,,,,,,,,,,,
20260709_223550,cp_rolling,SUMMARY,SUMMARY,20883.948955,FEASIBLE,110.34%,,,290,10,,3600,,80,4,False,True,1,True,False,hybrid,True,,,,,,,,,,,,,,,,,,,,,,290,10,7,491,1837.3095515260222,2341,370,2150,4861,14929443.09551526,0,7,True
