timestamp,model,row_type,day,runtime_sec,solver_status,gap_percent,objective,best_bound,complete_count,carried_over_count,cp_time_limit_sec,cp_time_limit_per_day_sec,cp_max_customers,cp_max_candidates_per_day,cp_threads,cp_log_search,cp_two_phase_objective,cp_random_seed,cp_use_decision_strategy,cp_use_service_no_overlap,cp_candidate_strategy,cp_solve_phase2,objective_mode,daily_optimal_for,fixed_impossible_arcs,total_nonself_arcs,fixed_arc_ratio,distance_objective_scale,drop_penalty,distance_weight,degree_linking_constraints_count,arc_linking_constraints_count,window_pair_cuts_count,pair_conflict_cuts_count,depot_window_cuts_count,dominated_window_cuts_count,precedence_cuts_count,phase1_status,phase2_status,service_interval_count,roundtrip_duration_lb_count,fixed_impossible_customers_count,candidate_strategy,delivered_count,incomplete_count,active_days,total_deferral_days,total_distance_km,total_travel_time_min,total_waiting_time_min,total_service_time_min,total_route_duration_min,objective_value,violation_count,number_of_active_days,hard_feasible
20260711_000716,cp_rolling,DAY,1,60.037420,FEASIBLE,63.83%,47.0,77.0,47,33,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_count_incumbent_total_count,1366,6480,0.21080246913580247,km,10000,10,162,12800,2878,0,0,0,1366,FEASIBLE,NO_TIME,80,80,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling,DAY,2,60.066151,FEASIBLE,63.83%,47.0,77.0,47,33,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_count_incumbent_total_count,1140,6480,0.17592592592592593,km,15000,10,162,12800,3182,0,0,0,1140,FEASIBLE,NO_TIME,80,80,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling,DAY,3,60.051332,FEASIBLE,79.07%,43.0,77.0,43,37,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_count_incumbent_total_count,1415,6480,0.2183641975308642,km,25000,10,162,12800,3699,0,0,0,1415,FEASIBLE,NO_TIME,80,80,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling,DAY,4,60.038180,FEASIBLE,111.11%,36.0,76.0,36,44,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_count_incumbent_total_count,1599,6480,0.24675925925925926,km,40000,10,162,12800,3600,0,0,0,1599,FEASIBLE,NO_TIME,80,80,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling,DAY,5,60.075422,FEASIBLE,3.70%,27.0,28.0,27,50,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,not_certified,1210,6006,0.20146520146520147,km,70000,10,156,11858,2690,0,0,0,1210,FEASIBLE,NO_TIME,77,77,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling,DAY,6,39.557002,FEASIBLE,3.45%,26924.0,25995.0,63,0,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_and_total_count,0,4032,0.0,km,120000,10,128,7938,0,0,0,0,0,OPTIMAL,FEASIBLE,63,63,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling,DAY,7,7.817760,FEASIBLE,0.82%,20648.0,20478.0,36,0,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_and_total_count,0,1332,0.0,km,1000000,10,74,2592,0,0,0,0,0,OPTIMAL,FEASIBLE,36,36,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling,SUMMARY,SUMMARY,347.655322,FEASIBLE,,93293.91572074956,,299,1,,60,,80,4,False,True,1,True,True,hybrid,True,,,,,,,,,,,,,,,,,,,,,,299,1,7,678,2397.9915720749555,3030,514,2216,5760,93293.91572074956,0,7,True
