timestamp,model,row_type,day,runtime_sec,solver_status,gap_percent,objective,best_bound,complete_count,carried_over_count,cp_time_limit_sec,cp_time_limit_per_day_sec,cp_max_customers,cp_max_candidates_per_day,cp_threads,cp_log_search,cp_two_phase_objective,cp_random_seed,cp_use_decision_strategy,cp_use_service_no_overlap,cp_candidate_strategy,cp_solve_phase2,objective_mode,daily_optimal_for,fixed_impossible_arcs,total_nonself_arcs,fixed_arc_ratio,distance_objective_scale,drop_penalty,distance_weight,degree_linking_constraints_count,arc_linking_constraints_count,window_pair_cuts_count,pair_conflict_cuts_count,depot_window_cuts_count,dominated_window_cuts_count,precedence_cuts_count,phase1_status,phase2_status,service_interval_count,roundtrip_duration_lb_count,fixed_impossible_customers_count,candidate_strategy,delivered_count,incomplete_count,active_days,total_deferral_days,total_distance_km,total_travel_time_min,total_waiting_time_min,total_service_time_min,total_route_duration_min,objective_value,violation_count,number_of_active_days,hard_feasible
20260711_000716,cp_rolling_repair,DAY,1,60.035558,FEASIBLE,67.39%,46.0,77.0,46,34,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_count_incumbent_total_count,1366,6480,0.21080246913580247,km,10000,10,162,12800,2878,0,0,0,1366,FEASIBLE,NO_TIME,80,80,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling_repair,DAY,2,60.036540,FEASIBLE,85.37%,41.0,76.0,41,39,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_count_incumbent_total_count,1140,6480,0.17592592592592593,km,15000,10,162,12800,3182,0,0,0,1140,FEASIBLE,NO_TIME,80,80,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling_repair,DAY,3,60.036036,FEASIBLE,97.44%,39.0,77.0,39,41,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_count_incumbent_total_count,1298,6480,0.20030864197530865,km,25000,10,162,12800,3691,0,0,0,1298,FEASIBLE,NO_TIME,80,80,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling_repair,DAY,4,60.046998,FEASIBLE,80.95%,42.0,76.0,42,38,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_count_incumbent_total_count,1599,6480,0.24675925925925926,km,40000,10,162,12800,3639,0,0,0,1599,FEASIBLE,NO_TIME,80,80,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling_repair,DAY,5,60.054665,FEASIBLE,10.71%,28.0,31.0,28,52,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,not_certified,1366,6480,0.21080246913580247,km,70000,10,162,12800,2954,0,0,0,1366,FEASIBLE,NO_TIME,80,80,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling_repair,DAY,6,12.818181,FEASIBLE,2.74%,26840.0,26105.0,62,0,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_and_total_count,0,3906,0.0,km,120000,10,126,7688,0,0,0,0,0,OPTIMAL,FEASIBLE,62,62,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling_repair,DAY,7,7.991881,FEASIBLE,1.09%,22999.0,22748.0,39,0,,60,,80,4,False,True,1,True,True,hybrid,True,adaptive_three_stage,mandatory_and_total_count,0,1560,0.0,km,1000000,10,80,3042,0,0,0,0,0,OPTIMAL,FEASIBLE,39,39,0,hybrid,,,,,,,,,,,,,
20260711_000716,cp_rolling_repair,SUMMARY,SUMMARY,621.355531,FEASIBLE,,99352.48089103898,,297,3,,60,,80,4,False,True,1,True,True,hybrid,True,,,,,,,,,,,,,,,,,,,,,,297,3,7,703,2561.748089103898,3227,435,2204,5866,99352.48089103898,0,7,True
