profile,candidate_limit,time_limit_per_day_sec,phase1_time_fraction,phase2_time_fraction,solve_phase2,delivered_count,incomplete_count,total_deferral_days,total_distance_km,total_waiting_time_min,objective_value,total_runtime_sec,mandatory_unserved_by_day,phase1_statuses,phase2_statuses,precompute_time_by_day,phase1_build_time_by_day,phase2_build_time_by_day,phase1_solve_time_by_day,phase2_solve_time_by_day,phase1_optimal_days,phase2_optimal_days,phase2_hint_days
A_old_compatible_split,80,10,0.6,0.4,True,276,24,681,2522.507142126949,339,30836264.07142127,49.39356364501873,1:0|2:0|3:1|4:4|5:19|6:0|7:0,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:FEASIBLE|6:OPTIMAL|7:OPTIMAL,1:FEASIBLE|2:FEASIBLE|3:|4:|5:|6:FEASIBLE|7:FEASIBLE,1:0.01673351798672229|2:0.01701892400160432|3:0.016384125978220254|4:0.015719985007308424|5:0.016515526978764683|6:0.008790726016741246|7:0.002745317993685603,1:0.08898449601838365|2:0.10456057399278507|3:0.09063570300349966|4:0.09258540801238269|5:0.09195527998963371|6:0.04646747699007392|7:0.012642806977964938,1:0.08481106598628685|2:0.08511804300360382|3:0.0|4:0.0|5:0.0|6:0.045297656033653766|7:0.013790062977932394,1:6.027606340998318|2:6.021694078983273|3:6.023617502010893|4:6.0234397040330805|5:6.02172163996147|6:1.8990279880235903|7:0.264078221982345,1:4.025071109994315|2:4.029272663989104|3:0.0|4:0.0|5:0.0|6:4.020095751970075|7:4.020864310034085,2,0,4
B_mandatory_lexicographic,80,10,0.85,0.15,True,282,18,684,2630.1357291797967,392,24867393.3572918,57.567900005029514,1:0|2:0|3:1|4:5|5:6|6:6|7:0,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:FEASIBLE|6:FEASIBLE|7:OPTIMAL,1:FEASIBLE|2:UNKNOWN|3:|4:|5:|6:|7:FEASIBLE,1:0.0164040380041115|2:0.01655811001546681|3:0.017344768973998725|4:0.0160999380168505|5:0.017488231998868287|6:0.009037212992552668|7:0.005238189012743533,1:0.09036563202971593|2:0.09254535002401099|3:0.09750019200146198|4:0.09303795703453943|5:0.09120255801826715|6:0.04761472897371277|7:0.03064066800288856,1:0.08750340598635375|2:0.09696209599496797|3:0.0|4:0.0|5:0.0|6:0.0|7:0.02704940998228267,1:8.520783547020983|2:8.530756819003727|3:8.525208043982275|4:8.542434981965926|5:8.520432963036|6:8.52117065503262|7:1.0614018709748052,1:1.5336307999677956|2:1.289642260002438|3:0.0|4:0.0|5:0.0|6:0.0|7:1.5130649709608406,1,0,3
C_mandatory_lexicographic_phase1_only,80,10,1.0,0.0,False,286,14,666,2823.963155791841,342,20689281.63155792,53.04811849701218,1:0|2:0|3:0|4:8|5:6|6:0|7:0,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:FEASIBLE|6:OPTIMAL|7:OPTIMAL,1:|2:|3:|4:|5:|6:|7:,1:0.0170003900420852|2:0.016684475995134562|3:0.01749593496788293|4:0.01699873903999105|5:0.013538066996261477|6:0.009267362009268254|7:0.004233400977682322,1:0.09640344500076026|2:0.09643978002713993|3:0.09505187603645027|4:0.09740851598326117|5:0.08012518100440502|6:0.04828775202622637|7:0.012145274027716368,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:0.0|7:0.0,1:10.021605668007396|2:10.023325910966378|3:10.017688071995508|4:10.03830488899257|5:10.027012658014428|6:2.0273351670475677|7:0.20865712797967717,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:0.0|7:0.0,2,0,0
