profile,candidate_limit,time_limit_per_day_sec,adaptive_daily_deadline,solve_phase2,delivered_count,incomplete_count,total_deferral_days,total_distance_km,total_waiting_time_min,objective_value,hard_feasible,total_runtime_sec,mandatory_unserved_by_day,stage1a_statuses,stage1b_statuses,stage2_statuses,phase1_statuses,phase2_statuses,stage1a_solve_time_by_day,stage1b_solve_time_by_day,stage2_solve_time_by_day,unused_daily_budget_by_day,phase2_hint_days
old_weighted_85_15_10s,80,10,False,True,289,11,708,2419.041611338567,328,18105218.416113384,True,51.883107558998745,1:0|2:0|3:2|4:5|5:4|6:0|7:0,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:FEASIBLE|6:OPTIMAL|7:OPTIMAL,1:FEASIBLE|2:UNKNOWN|3:|4:|5:|6:FEASIBLE|7:FEASIBLE,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,4
phase1_only_adaptive_10s,80,10,True,False,254,46,584,2980.3842195688903,313,51870816.84219569,True,70.27986685198266,1:0|2:0|3:0|4:0|5:7|6:0|7:39,1:SKIPPED_NO_MANDATORY|2:OPTIMAL|3:OPTIMAL|4:OPTIMAL|5:FEASIBLE|6:OPTIMAL|7:FEASIBLE,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:NO_TIME|6:FEASIBLE|7:NO_TIME,1:|2:|3:|4:|5:|6:|7:,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:NO_TIME|6:FEASIBLE|7:NO_TIME,1:|2:|3:|4:|5:|6:|7:,1:0.0|2:1.6928933819872327|3:1.7240016729920171|4:7.697531402984168|5:9.911149665014818|6:3.3681292519904673|7:9.936972993018571,1:9.816427398996893|2:8.104476453969255|3:8.106782326998655|4:2.087113890971523|5:0.0|6:6.466731848020572|7:0.0,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:0.0|7:0.0,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:0.0|7:0.0,0
adaptive_three_stage_10s,80,10,True,True,294,6,747,2556.1217203665237,427,13496688.217203666,True,70.21383316197898,1:0|2:0|3:0|4:0|5:6|6:0|7:0,1:SKIPPED_NO_MANDATORY|2:OPTIMAL|3:OPTIMAL|4:OPTIMAL|5:FEASIBLE|6:OPTIMAL|7:OPTIMAL,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:NO_TIME|6:FEASIBLE|7:OPTIMAL,1:NO_TIME|2:NO_TIME|3:NO_TIME|4:NO_TIME|5:NO_TIME|6:NO_TIME|7:FEASIBLE,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:NO_TIME|6:FEASIBLE|7:OPTIMAL,1:NO_TIME|2:NO_TIME|3:NO_TIME|4:NO_TIME|5:NO_TIME|6:NO_TIME|7:FEASIBLE,1:0.0|2:1.7189606809988618|3:1.9320621879887767|4:3.4897805170039646|5:9.901452296006028|6:1.9315995289944112|7:1.1333859650185332,1:9.82043216197053|2:8.065523324010428|3:7.847368338960223|4:6.291854788956698|5:0.0|6:7.817696362966672|7:0.4962519580149092,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:0.0|7:8.251520860998426,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:0.0|7:0.0,1
