profile,candidate_limit,time_limit_per_day_sec,adaptive_daily_deadline,optimization_mode,stage2_max_time_fraction,delivered_count,incomplete_count,total_deferral_days,total_distance_km,total_waiting_time_min,objective_value,hard_feasible,total_runtime_sec,mandatory_unserved_by_day,stage1a_statuses,stage1b_statuses,stage2_statuses,phase1_statuses,phase2_statuses,stage1a_solve_time_by_day,stage1b_solve_time_by_day,stage2_solve_time_by_day,stage1b_skipped_reason_by_day,stage2_skipped_reason_by_day,stage1b_skipped_days,stage2_skipped_days,stage1a_ran_days,stage1b_ran_days,stage2_ran_days,phase2_hint_days,unused_daily_budget_by_day
A_fixed_weighted_85_15,80,60,False,full_three_stage,,297,3,624,2186.735090144013,421,9262988.35090144,True,303.3159143499797,1:0|2:0|3:0|4:1|5:2|6:0|7:0,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:FEASIBLE|6:OPTIMAL|7:OPTIMAL,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:|5:|6:FEASIBLE|7:FEASIBLE,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,1:|2:|3:|4:|5:|6:|7:,7,7,0,0,0,5,1:|2:|3:|4:|5:|6:|7:
B_mandatory_stage_only,80,60,True,mandatory_stage_only,,201,99,698,1978.925391819433,898,106001287.2539182,True,135.38570046401583,1:0|2:0|3:0|4:0|5:26|6:0|7:73,1:SKIPPED_NO_MANDATORY|2:OPTIMAL|3:OPTIMAL|4:OPTIMAL|5:FEASIBLE|6:OPTIMAL|7:FEASIBLE,1:SKIPPED|2:SKIPPED|3:SKIPPED|4:SKIPPED|5:SKIPPED|6:SKIPPED|7:SKIPPED,1:SKIPPED|2:SKIPPED|3:SKIPPED|4:SKIPPED|5:SKIPPED|6:SKIPPED|7:SKIPPED,1:SKIPPED_NO_MANDATORY|2:OPTIMAL|3:OPTIMAL|4:OPTIMAL|5:FEASIBLE|6:OPTIMAL|7:FEASIBLE,1:SKIPPED|2:SKIPPED|3:SKIPPED|4:SKIPPED|5:SKIPPED|6:SKIPPED|7:SKIPPED,1:0.0|2:1.9639275419758633|3:2.866677518992219|4:4.976621258014347|5:59.914812640985474|6:4.855656933970749|7:59.89130770700285,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:0.0|7:0.0,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:0.0|7:0.0,1:optimization_mode_mandatory_stage_only|2:optimization_mode_mandatory_stage_only|3:optimization_mode_mandatory_stage_only|4:optimization_mode_mandatory_stage_only|5:optimization_mode_mandatory_stage_only|6:optimization_mode_mandatory_stage_only|7:optimization_mode_mandatory_stage_only,1:optimization_mode_mandatory_stage_only|2:optimization_mode_mandatory_stage_only|3:optimization_mode_mandatory_stage_only|4:optimization_mode_mandatory_stage_only|5:optimization_mode_mandatory_stage_only|6:optimization_mode_mandatory_stage_only|7:optimization_mode_mandatory_stage_only,7,7,6,0,0,0,1:59.88257454900304|2:57.92042712500552|3:57.01777408097405|4:54.90246246900642|5:0.0|6:55.04780807899078|7:0.0
C_service_phases_only,80,60,True,service_phases_only,,299,1,647,2698.0784407221918,406,7498086.784407222,True,303.61474373197416,1:0|2:0|3:0|4:0|5:1|6:0|7:0,1:SKIPPED_NO_MANDATORY|2:OPTIMAL|3:OPTIMAL|4:OPTIMAL|5:FEASIBLE|6:OPTIMAL|7:OPTIMAL,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:NO_TIME|6:OPTIMAL|7:OPTIMAL,1:SKIPPED|2:SKIPPED|3:SKIPPED|4:SKIPPED|5:SKIPPED|6:SKIPPED|7:SKIPPED,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:FEASIBLE|6:OPTIMAL|7:OPTIMAL,1:SKIPPED|2:SKIPPED|3:SKIPPED|4:SKIPPED|5:SKIPPED|6:SKIPPED|7:SKIPPED,1:0.0|2:1.7076482610427774|3:2.073387690994423|4:2.9934892029850744|5:59.94812944199657|6:2.0076953190146014|7:0.32204174500657246,1:59.823548760963604|2:58.086506902007386|3:57.708721394999884|4:56.791408563032746|5:0.0|6:0.7023281010333449|7:0.18754420999903232,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:0.0|7:0.0,1:|2:|3:|4:|5:no_time_after_stage1a|6:|7:,1:optimization_mode_service_phases_only|2:optimization_mode_service_phases_only|3:optimization_mode_service_phases_only|4:optimization_mode_service_phases_only|5:optimization_mode_service_phases_only|6:optimization_mode_service_phases_only|7:optimization_mode_service_phases_only,1,7,6,6,0,0,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:57.16899930703221|7:59.4445640250342
D_full_three_stage,80,60,True,full_three_stage,0.1,299,1,624,2131.0891966419986,614,7262624.89196642,True,315.96026603796054,1:0|2:0|3:0|4:0|5:1|6:0|7:0,1:SKIPPED_NO_MANDATORY|2:OPTIMAL|3:OPTIMAL|4:OPTIMAL|5:FEASIBLE|6:OPTIMAL|7:OPTIMAL,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:NO_TIME|6:OPTIMAL|7:OPTIMAL,1:NO_TIME|2:NO_TIME|3:NO_TIME|4:NO_TIME|5:NO_TIME|6:FEASIBLE|7:FEASIBLE,1:FEASIBLE|2:FEASIBLE|3:FEASIBLE|4:FEASIBLE|5:FEASIBLE|6:OPTIMAL|7:OPTIMAL,1:NO_TIME|2:NO_TIME|3:NO_TIME|4:NO_TIME|5:NO_TIME|6:FEASIBLE|7:FEASIBLE,1:0.0|2:2.0091315419995226|3:1.7668021810241044|4:4.85582754801726|5:59.9552314520115|6:2.2130501559586264|7:0.3364516780129634,1:59.67569739796454|2:57.763459918962326|3:58.018152933975216|4:54.94380724203074|5:0.0|6:0.6999545069993474|7:0.19781719299498945,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:6.016489272995386|7:6.012215232010931,1:|2:|3:|4:|5:no_time_after_stage1a|6:|7:,1:no_time_after_stage1b|2:no_time_after_stage1b|3:no_time_after_stage1b|4:no_time_after_stage1b|5:stage1b_not_run_or_no_feasible_solution|6:|7:,1,5,6,6,2,2,1:0.0|2:0.0|3:0.0|4:0.0|5:0.0|6:50.88257643597899|7:53.38328210299369
